,date,endpoint_type,backend,label,model_id,tokenizer_id,num_prompts,request_rate,burstiness,max_concurrency,duration,completed,failed,total_input_tokens,total_output_tokens,request_throughput,request_goodput,output_throughput,total_token_throughput,max_output_tokens_per_s,max_concurrent_requests,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2el_ms,median_e2el_ms,std_e2el_ms,p99_e2el_ms,run_number,max_num_seqs,max_model_len,dtype
0,20251203-002245,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,1,594.3369391300002,100,0,6800,11100,0.16825472794334737,,18.676274801711557,30.11759630185918,19.0,2,63.19470399992497,63.217323499884515,0.6439246739507831,65.37086115983584,53.452916764546075,53.44808085454712,0.06488205229474628,53.67863519372804,53.452919931727344,53.47061649990792,0.2530795349830403,54.06160151971562,5943.015548099993,5941.969622000215,7.14074961765948,5966.767755630126,0,256,4096,auto
1,20251203-003256,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,1,594.2611011159997,100,0,6800,11100,0.168276200162191,,18.6786582180032,30.12143982903219,19.0,2,63.11790153985385,63.16806849963541,0.6533418700695123,64.65523658043821,53.44670194109246,53.44257694091126,0.05655205685242609,53.6399374573514,53.44670491736344,53.47117450037331,0.2520424643842142,54.071517009715535,5942.255115060025,5942.214378000244,6.21829753971208,5963.862668498623,1,256,4096,auto
2,20251203-004306,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,1,594.3499109040004,100,0,6800,11100,0.16825105575922605,,18.675867189274094,30.116938980901462,19.0,2,63.101579630038025,63.2061075002639,0.575337894301937,64.33920429031787,53.454877398273474,53.45592586818384,0.04800516779252665,53.58628741881727,53.45488063027287,53.473420499358326,0.2528042869364794,54.09843348965296,5943.13809344012,5943.530087499312,5.335050400251584,5957.5448872285415,2,256,4096,auto
3,20251203-004831,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,2,308.70947188399987,100,0,6800,11100,0.32392916028691154,,35.95613679184718,57.98331969135716,38.0,4,101.45620973007681,108.93410349945043,17.67890498535168,112.0661415213181,55.1989157178179,55.19519544545388,0.05388849930653558,55.41270932736932,55.19891843727187,55.21054000018921,0.29541531822105416,55.86199237162873,6173.336938690045,6179.637372999423,17.90916972605157,6206.71886561875,0,256,4096,auto
4,20251203-005357,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,2,309.0331453510007,100,0,6800,11100,0.3235898851122255,,35.91847724745703,57.92258943508836,38.0,4,109.58070937009325,109.78835749938298,4.617222754700197,112.13568215127458,55.18419984481773,55.18139962272141,0.05494123725469483,55.28415130228661,55.184202992000294,55.20208349935274,0.30736109672034323,55.90446403024544,6179.842692300044,6180.273756999668,7.2458132007785325,6190.910579350002,1,256,4096,auto
5,20251203-005922,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,2,308.55157461899944,100,0,6800,11100,0.3240949268318606,,35.97453687833653,58.012991902903046,38.0,4,103.2152911099729,108.97686650059768,16.06636350372164,112.32468668169534,55.15444766236347,55.14943526818156,0.054557721503556256,55.395304997546035,55.15445059109086,55.169137999655504,0.2957676499705132,55.80159748957158,6170.204533969954,6175.014112999634,16.954267192377237,6204.35805601086,2,256,4096,auto
6,20251203-010214,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,4,155.5797390300013,100,0,6800,11100,0.6427572164825167,,71.34605102955936,115.0535417503705,72.0,8,110.542886360181,110.54562150002312,4.826036823256647,124.31904363900685,55.56105036763537,55.56856650908396,0.045768972181648875,55.64768366528039,55.56105302100101,55.542740000419144,0.33837222896729713,56.362679389967525,6222.258426800072,6222.7715830003945,6.9411734213684015,6237.485001900077,0,256,4096,auto
7,20251203-010506,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,4,155.55498829800126,100,0,6800,11100,0.6428594871443599,,71.35740307302395,115.07184819884043,76.0,8,110.6315454900141,110.70001249936468,4.844457983066268,122.55220531009401,55.55132144181847,55.55129464545727,0.0493933470397974,55.6464750972591,55.55132390754641,55.52958300086175,0.33561919138313284,56.40288007976778,6221.276904090046,6221.60556650033,7.349811015148337,6231.957220481327,1,256,4096,auto
8,20251203-010758,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,4,155.409391348001,100,0,6800,11100,0.6434617569286701,,71.42425501908238,115.17965449023195,76.0,8,110.44043963996955,110.54840099950525,4.949157925434642,123.69741706999775,55.50006667754578,55.5053022090843,0.04405781049972242,55.56387036791751,55.500069182637326,55.47066200051631,0.31889696885231755,56.320169480695775,6215.447774170007,6216.173352000624,6.9578794689008205,6230.92807255056,2,256,4096,auto
9,20251203-010936,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,8,81.88430063699889,100,0,6800,11100,1.2212353188837721,,135.5571203960987,218.6011220801952,144.0,16,115.75137105010072,115.75593999987177,6.449808955898047,132.22844385007193,56.22984735081709,56.256566295451194,0.15686329271482727,56.33904497054606,56.22984927018197,56.16066300081002,0.5623562246734339,57.6743779689059,6301.0345796399815,6302.885965000314,19.367567337436693,6323.936936209648,0,256,4096,auto
