,date,endpoint_type,backend,label,model_id,tokenizer_id,num_prompts,request_rate,burstiness,max_concurrency,duration,completed,failed,total_input_tokens,total_output_tokens,request_throughput,request_goodput,output_throughput,total_token_throughput,max_output_tokens_per_s,max_concurrent_requests,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2el_ms,median_e2el_ms,std_e2el_ms,p99_e2el_ms,run_number,max_num_seqs,max_model_len,dtype
10,20251202-234035,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,8,44.53973928999949,100,0,4600,6000,2.245186020261529,,134.71116121569173,237.98971814772204,144.0,16,118.989828019985,119.47494050036767,6.953383133505465,135.21619328976158,56.06240360999976,56.07817866949533,0.14376735318404288,56.26100987389814,56.06240718932217,56.03780199999164,0.5537946142378526,57.24038376039971,3426.6716410099707,3428.0484290002278,10.50589263435875,3443.227716399624,1,256,4096,auto
11,20251202-234134,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,8,44.52626157499981,100,0,4600,6000,2.245865618687985,,134.7519371212791,238.06175558092642,144.0,16,119.02744404002988,119.63181800001621,7.016793315431947,135.36673029992016,56.04132748474466,56.04185433897374,0.15141806941635394,56.28458546102284,56.04133090169421,56.01602800015826,0.5657932321989192,57.258241330282544,3425.465765639965,3426.209739999649,10.747909032082744,3440.9289459296724,2,256,4096,auto
12,20251202-234212,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,16,24.65932487200007,100,0,4600,6000,4.055261063272135,,243.31566379632807,429.85767270684624,288.0,32,143.97734297997886,143.86626550003712,14.437698997210349,170.02424816962957,57.519547733898094,57.57170050848367,0.45080733919816524,58.10386756034366,57.51955112254279,57.45997800022451,1.267157221064755,59.87986848004766,3537.6306592799665,3539.7078429996327,33.48093291120699,3571.8613978099074,0,256,4096,auto
13,20251202-234250,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,16,24.660275720000755,100,0,4600,6000,4.055104700994679,,243.30628205968074,429.841098305436,288.0,32,144.39517189005528,144.43097500043223,14.275895747091685,168.99982953045765,57.50589157288017,57.564774313559,0.43358503481933913,58.12565023542339,57.505894818642766,57.44776399978946,1.2617041438400713,59.88856892983677,3537.242774689985,3541.3322700001117,31.963581055301816,3565.6918507902265,1,256,4096,auto
14,20251202-234329,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,16,24.647294843000054,100,0,4600,6000,4.057240384268802,,243.4344230561281,430.067480732493,288.0,32,142.74040096995122,142.82225499982815,13.83020793901331,166.203774630103,57.49952081050914,57.56279120339321,0.43234549797504446,58.08687979915518,57.499524076440785,57.44565899976806,1.2495957300311458,59.90243149013622,3535.21212878999,3538.5617990000355,31.90521834420022,3565.964377239552,2,256,4096,auto
15,20251202-234358,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,32,15.611818108999614,100,0,4600,6000,6.405403861472985,,384.3242316883791,678.9728093161364,512.0,64,229.4948233199375,225.3292854998108,36.58729630781272,269.5386986898302,64.69735016355949,65.02423039830197,1.9318931783554842,66.79682738406156,64.6973531454242,64.85230450016388,3.1820777965112277,69.31630236981619,4046.6384829699473,4062.464566500239,137.5705252675163,4109.895647330204,0,256,4096,auto
16,20251202-234427,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,32,15.634340826999505,100,0,4600,6000,6.396176283128382,,383.7705769877029,677.9946860116085,512.0,64,229.59230964001108,229.54281300008006,40.651737690078605,301.1157087797619,64.8402409730509,65.254879762714,1.9454919817153242,66.7948301127112,64.84024370796668,64.87893599978634,3.7068736529351805,69.62109746951684,4055.1665270500143,4079.75354600012,136.33003492257484,4117.912219489772,1,256,4096,auto
17,20251202-234456,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,32,15.570807543999763,100,0,4600,6000,6.422274484956637,,385.33646909739826,680.7610954054036,512.0,64,214.41068960002667,228.66720549973252,46.26523696011072,251.05692452001676,64.84021637508549,65.16396858475318,1.9705815455655662,66.76911167762815,64.84021972356027,64.83062500001324,3.821518309966906,69.95101171035458,4039.983455730071,4075.104093000391,136.07601559417188,4094.0302121103473,2,256,4096,auto
18,20251202-234519,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,64,8.767604847999792,100,0,4600,6000,11.405623512197133,,684.3374107318281,1208.9960922928963,905.0,100,338.04469511995194,388.2809324995833,81.03017212888034,400.0083296403045,69.33901767135575,71.0105680000043,2.3295452053430883,71.06344240610487,69.33902046660987,70.02161400032492,4.995434757957144,84.04446632931469,4429.046737729941,4578.0133779994685,202.33547726575532,4590.629512240366,0,256,4096,auto
19,20251202-234541,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,64,8.763226152000243,100,0,4600,6000,11.411322527283469,,684.6793516370082,1209.6001878920476,960.0,100,341.19161726998755,388.95478999984334,74.97536827300715,400.6044539604227,69.27932570169429,70.9717353220262,2.350853053779412,71.07647702016085,69.27932881864346,70.12338599997747,4.537776063439005,82.24978201988053,4428.6718336699505,4576.481878999857,200.8489268352754,4591.226021870079,1,256,4096,auto
20,20251202-234604,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,64,8.768139727999369,100,0,4600,6000,11.404927738625016,,684.295664317501,1208.9223402942516,949.0,100,337.22904783994636,385.3652484999657,79.05633041662045,397.11238097967,69.35631061644078,71.01613924576175,2.326418784684992,71.11589010236783,69.35631336508408,70.17366249965562,4.998518991679139,82.47233556046922,4429.251374209953,4576.058760999786,199.81279157952082,4588.742289470456,2,256,4096,auto
21,20251202-234622,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,128,5.265619835000507,100,0,4600,6000,18.991116551047096,,1139.4669930628256,2013.058354410992,1300.0,100,517.15633083998,577.487814000051,130.01608277008637,591.0172260294894,79.8888807864419,79.09316608475372,1.6629906796878409,83.38276396456591,79.88888326542465,78.89963600018746,14.648153866030707,84.58836968992728,5230.600297240053,5243.416606499977,35.48476069817521,5256.546463239929,0,256,4096,auto
22,20251202-234641,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,128,5.263624365000396,100,0,4600,6000,18.998316191583417,,1139.8989714950048,2013.821516307842,1300.0,100,485.81711732996155,589.950073500404,118.38306200560804,601.8986485203459,80.16340090423756,78.81512967797033,1.4646312155046919,81.74131775320994,80.16340362627149,78.75806349966297,14.434547019844695,90.77723851023622,5215.457770679977,5238.649393000287,34.15547777135948,5250.25747319055,1,256,4096,auto
23,20251202-234700,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,128,5.24936709999929,100,0,4600,6000,19.04991556029936,,1142.9949336179616,2019.291049391732,1300.0,100,499.11632574003306,591.2263195004925,132.15171282059995,601.8620015998204,79.80158867271203,78.60056452542821,1.6707225450567287,82.12552109135069,79.80159296067863,78.46498599974439,15.545973156178603,87.41628937009409,5207.410057430043,5228.046191500198,36.3185677623347,5237.283374669987,2,256,4096,auto
